stage,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0
72hpf,1.07,2.14,0,0,0,2.14,11.77,1.07,0
21Day,0,0,1.34,0,2.68,0,4.02,0,0
3Month,0,0,0,0.96,0,0,0,0,0.32
22Month,0,0,0,1.09,0,0,0,0,0
