stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,4.02,1.34,0,12.05,0,4.02,0,5.35,0,0,0,0,0,8.03,1.34,0,4.02,6.69,29.45,0,2.68,0,0,14.72,1.34,0,9.37,1.34,0,1.34,1.34,0,2.68,0,0,0,5.35
3Month,0,3.2,0.32,29.76,0.64,0,0.32,1.6,21.44,9.6,0,14.72,3.52,2.24,17.28,1.28,7.04,2.56,6.08,0.96,5.12,0.64,0,0,3.84,0.32,0,0.96,0.32,8,0,0.32,0,0.32,3.52,2.88,13.44
22Month,0,3.83,0,9.29,0,0,1.09,1.09,6.01,18.04,1.09,30.61,2.73,2.73,5.47,0,0,4.37,3.83,0,0.55,0,1.09,0.55,1.09,0.55,1.09,0,0,6.56,0.55,0,0,0,0,0,1.64
