stage,Epithelial_cell,Hepatocyte,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,4.09,0,0
21Day,0,0,0,0,1.34,1.34
22Month,0.55,0.55,0.55,0,0,0
