stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,65.38,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,20.43,0,0,0,8.17,1005.26,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0
72hpf,31.02,6.42,0,25.67,5.35,29.95,1.07,0,1.07,0,0,0,0,1.07,2.14,4.28,58.84,4.28,39.58,2.14,1.07,0,2092.51,1981.25,1.07,2.14,0,50.28,0,0,64.19,51.35,42.79,6.42,0,0,0
21Day,8.03,1.34,0,20.08,1.34,18.74,4.02,0,2.68,0,0,0,1.34,6.69,5.35,4.02,6.69,5.35,21.42,0,0,2.68,487.23,401.56,1.34,6.69,0,6.69,14.72,0,28.11,10.71,42.83,0,0,0,2.68
3Month,0,0,0.96,5.44,0,0,0,0,1.28,0,0,3.84,1.28,0,0.96,0.32,1.28,2.88,0.96,0,0,0.32,13.44,9.6,0,5.44,0,0,0.96,30.08,12.8,0,0.64,2.24,0.64,19.84,0.96
22Month,0,1.09,0,2.73,0,0,0,1.09,1.09,0.55,0,14.21,1.64,1.64,2.19,0,1.64,2.19,2.19,1.09,0,0,20.23,1.09,0.55,7.11,0.55,0,0.55,21.32,26.79,1.09,0,2.19,0,0,0
