stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,20.43,0,0
72hpf,1.07,0,0,0,2.14,1.07,0,0,2.14,1.07,0
21Day,1.34,8.03,1.34,0,2.68,6.69,1.34,1.34,1.34,1.34,0
3Month,0,0,0,0.64,0,0,0,0,0,0,0.32
