stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,32.69,4.09,0,0,0,0,20.43,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,5.35,0,1.34,1.34,1.34,17.4,1.34,0,22.76,1.34,0,0,0,4.02,1.34,1.34,0,0,0,0,0,0,10.71
3Month,0.64,2.24,2.24,10.24,1.92,29.44,0.32,0.96,0.96,30.08,0.32,0,0.32,0.32,0,0,0,0.32,1.28,0,0,4.48,0.96,27.84
22Month,2.73,1.09,0,42.64,5.47,21.32,0,0,0,47.01,0.55,1.64,0,0,0,0,0,0,0,0.55,0,0,0,13.67
