stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,10.7,2.14,0,2.14,0,0,1.07,0,0,0
21Day,2.68,0,2.68,4.02,2.68,0,0,0,1.34,0,0,1.34,0,4.02,0,0,2.68,6.69,0,0,2.68,0,1.34,1.34,0,0
3Month,0,0,4.8,0,0.32,0,0.32,3.2,0.32,2.24,0.32,0.64,0.64,0.96,0.32,0,0.32,0,0,0.32,0,1.6,0,0,0.64,1.6
22Month,0,1.09,0,0,0,0.55,0,9.29,0,3.28,0,0.55,1.09,1.09,0,0.55,0,0,0.55,0,0,0,0,0,0,0
