stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
3Month,1.28,3.52,0,0.32,0.96,2.24,0.64,0,0,0.32,0.32,1.6,1.28,0,0,0.64,0.64,0,0.64,0.32,0.32,0.32,3.2
22Month,6.56,2.73,0.55,0.55,2.73,33.89,2.19,1.64,1.09,0,0,3.28,2.73,0.55,1.09,0.55,0,0.55,0.55,0,0,0,2.73
