stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,2.14,1.07,0,0,0,0,6.42,2.14,1.07,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,2.68,0,0,0,4.02,0,0,1.34,1.34,0,0,0
3Month,0.32,0,0.32,8.64,0,1.92,0.96,0.32,0,12.16,1.6,0,3.84,0.64,3.2,1.28,5.12,0.32,0,0.64,0.96,0,0.32,0.32,0.32,0,0.96,5.12,0,0,1.28,0.32,1.28
22Month,0,2.73,0.55,6.01,0,0.55,2.73,1.09,0,23.51,2.73,2.73,6.01,0.55,1.64,0.55,8.2,0,1.09,0,0,0,0,0.55,0,0.55,0.55,0.55,1.09,0,1.09,0,0.55
