stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,12.84,0,1.07,0,0,0,0,0,0,0,4.28,0,0,0,0,2.14,0,7.49,2.14,0,0,1.07,0,0,0
21Day,0,0,0,38.82,8.03,0,4.02,0,0,0,0,1.34,0,0,17.4,5.35,1.34,0,0,2.68,0,9.37,1.34,1.34,0,0,1.34,0,0
3Month,0.32,0.32,0.96,169.25,0,0.32,0,0.32,0,7.04,1.6,0,2.24,1.28,16,2.24,2.88,0.32,0.32,1.92,0.96,0.64,5.44,0.96,5.12,0,0,9.92,1.6
22Month,0,0.55,0,18.59,0,0,0,0,0.55,13.67,0,0,1.64,0,0.55,1.09,1.09,0,0,0,0,0,2.19,0.55,0.55,0,0,0,0.55
