stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,8.17,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,3.21,25.67,3.21,7.49,0,0,0,0,4.28,0,0,0,12.84,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,24.09,0,0,0,0,0,0,0,0,0,0,0,1.34,0,17.4,1.34,5.35,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0
3Month,7.68,61.75,17.28,12846.6,0.96,40.63,3.84,1.6,45.75,136.3,0.32,0,299.79,199.33,7.36,206.05,75.19,124.78,109.1,174.69,46.71,3.52,44.15,23.36,15.36,0.96,13.76,7.68,5.76,65.91,91.51,3.84,0.32,1.28,54.07,54.07,142.06
22Month,0.55,4.37,1.64,507.84,6.56,1.09,0,0,2.19,10.39,6.56,0,67.24,1.64,1.09,13.67,0.55,2.73,5.47,22.41,0,3.83,0.55,0,0,0.55,0.55,0.55,1.64,0,0,0.55,0,0,0,0,6.01
