stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythrocyte..Liver.,Fibroblast,Goblet.cell,Granulocyte,Granulosa.cell,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.518427437101,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.06979114146608,1.06979114146608,0,0,0,1.06979114146608,0,0,0,0,0,0,0,0,0,0,2.13958228293216,0,1.06979114146608,0,1.06979114146608,0,2.13958228293216,13.907284839059,3.20937342439823,0,0,4.27916456586431,0,0,1.06979114146608,2.13958228293216,0,0,0
21Day,0,1.33853308820331,0,2.67706617640661,0,0,0,0,0,0,0,0,0,1.33853308820331,0,0,0,0,20.0779963230496,0,0,0,5.35413235281323,1.33853308820331,2.67706617640661,0,0,16.0623970584397,1.33853308820331,0,4.01559926460992,0,0,0,0
3Month,0.319949299554195,5.75908739197552,4.79923949331293,12.7979719821678,0,0,0.639898599108391,0.319949299554195,2.55959439643356,2.23964509687937,0,27.835589061215,3.83939159465034,0,177.891810552133,0.319949299554195,2.23964509687937,0.959847898662586,18.2371100745891,5.11918879286713,0,0.959847898662586,281.875332907246,0.959847898662586,0,0.639898599108391,0,0.959847898662586,1.91969579732517,7.67878318930069,0.959847898662586,0.639898599108391,0.639898599108391,1.59974649777098,3.19949299554195
22Month,0,2.18661860478973,2.18661860478973,12.0264023263435,0.546654651197433,0,0,0,1.09330930239487,1.6399639535923,0.546654651197433,144.316827916122,1.09330930239487,0.546654651197433,39.3591348862152,0.546654651197433,0,1.09330930239487,9.8397837215538,0,3.82658255838203,1.09330930239487,28.972696513464,0,0,0,0.546654651197433,0,0,9.8397837215538,5.46654651197433,0,0.546654651197433,0,1.09330930239487
