stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,1.07,0
21Day,4.02,1.34,1.34,0,0,0,4.02,0,0,0,1.34,0,0,0,5.35
3Month,1.28,0,0,0.32,0,0,0,0.32,1.28,0.64,0,0,0.32,0,1.28
22Month,0,0,0,0,2.73,0.55,0,0,0,0,0,0.55,0,0,1.09
