stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,8.56,2.14,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0,0.96,6.08,0.32,0,2.24,0.64,0.64,10.88,1.6,0,2.24,0,0,1.28,0.32,0.32,0,0.32,0,0,1.92,0.32,8.96
22Month,0.55,0,1.09,1.09,1.09,0.55,0.55,20.23,0.55,0,16.4,0,0.55,1.09,1.09,3.28,0,0,0,0,0.55,1.09,0.55,0.55,0,0.55
