stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,89.9,0,0,0,0,0,53.12,0,0,0,0,0,0,28.6,4.09,0,0,0,0,8.17,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,9.63,25.67,3.21,0,1.07,0,0,0,0,0,0,3.21,8.56,14.98,8.56,0,0,0,0,657.92,31.02,1.07,1.07,16.05,0,0,1.07,8.56,3.21,2.14,0,0,0
21Day,4.02,0,13.39,32.12,10.71,0,0,0,0,1.34,0,2.68,1.34,2.68,8.03,5.35,13.39,0,2.68,6.69,0,208.81,16.06,0,1.34,0,9.37,1.34,0,26.77,124.48,0,0,0,2.68
3Month,0,0.64,4.48,4.8,0,0.32,3.52,0,0,5.12,1.28,0.32,0.96,1.28,0.96,1.28,38.07,17.6,0,0.64,0.32,14.08,0,0,0,0.32,0,27.2,0.64,0,0,0,0.32,0.32,0.64
22Month,0,0,6.56,3.28,0,1.09,3.83,1.09,0,32.25,0.55,0,1.09,0,0,16.95,115.34,4.92,1.09,0.55,0,9.84,0,2.19,0,0,1.64,18.04,0,13.12,0,0,0,0,0
