stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,167.54,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,860.11,1.07,0,1.07,4.28,0,0,0,0,0,2.14,4.28,2.14,7.49,0,5.35,1.07,35.3,12.84,1.07,8.56,0,1.07,1.07,0,0,0,0
21Day,330.62,0,5.35,0,2.68,1.34,1.34,1.34,8.03,0,1.34,5.35,1.34,10.71,0,50.86,0,17.4,1.34,0,6.69,0,2.68,0,2.68,1.34,0,1.34
3Month,6.72,0.32,1.28,0,0,0,3.52,0.64,0,1.6,0,0.32,0,0.32,0.32,0.96,0.32,0,0,0,0,1.92,0,0,0,0,0.64,0
22Month,2.73,0,0,0,0,1.09,6.01,0,0,1.64,0,0,0,0.55,0,1.09,0,0.55,0,0,0,2.19,0,0,0,0,0.55,0
