stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0
21Day,0,2.68,0,0,2.68,0,0,0,1.34
3Month,0,0,0,0.32,1.92,0,0,0.32,0.32
22Month,0.55,1.09,8.2,0,0,0.55,0,0,0
