stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0,2.14,1.07,0,112.33,9.63,0,3.21,1.07,0,1.07,0
21Day,1.34,1.34,1.34,1.34,0,0,0,0,0,1.34,70.94,8.03,1.34,1.34,1.34,2.68,0,2.68
22Month,0,0,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0
