stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,8.17,0,0,0,0,12.26,65.38,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,32.09,0,3.21,3.21,2.14,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,21.4,0,0,0,0,41.72,16.05,7.49,8.56,18.19,0,0,11.77,0,0,1.07,0,0,0
21Day,16.06,0,22.76,0,6.69,0,2.68,0,0,0,0,0,1.34,1.34,0,0,4.02,21.42,1.34,109.76,0,0,10.71,0,25.43,5.35,2.68,10.71,72.28,4.02,0,2.68,0,4.02,0,0,0,0
3Month,21.76,0,188.77,0,0,0,0.32,0.32,0.64,9.92,0.64,0,10.88,20.48,0,3.52,3.84,8.64,2.88,36.15,8.96,0,13.12,4.8,0.32,0.32,0.96,0.32,0.96,1.28,2.88,0.96,0,0,0.96,4.48,2.24,3.52
22Month,28.97,0.55,130.1,0,0,7.65,0,0.55,0,1.64,0,0,16.4,9.84,0.55,4.37,0,6.01,2.73,60.13,4.92,0.55,7.11,0,0.55,0.55,5.47,1.09,0,0.55,2.73,2.73,0.55,0,0.55,2.19,0,1.09
