stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,40.86,8.17,73.56,0,8.17,0,32.69,0,0,0,253.36,28.6,106.25,28.6,760.07,0,0,20.43,0,0,0,0
72hpf,4.28,0,1.07,0,2.14,0,0,0,0,0,80.23,0,1.07,100.56,5.35,2.14,0,6.42,2.14,1.07,0,0
21Day,0,0,2.68,1.34,1.34,0,0,0,0,0,2.68,0,5.35,22.76,8.03,0,0,1.34,4.02,0,1.34,0
22Month,0,0.55,1.64,0,0,0.55,0,8.75,1.09,1.09,1.64,0,0.55,0,0,0,38.81,0,0,0,0,0.55
