stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,2.68,0,0,0,0,1.34,1.34,0,0,0
3Month,0.32,2.24,0.64,0.32,0.64,0,0.32,0.96,0.32,0,0,0,0,0.64,0.32
22Month,0,0.55,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0
