stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0
21Day,0,8.03,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,5.44,1.6,4.8,0.96,0.64,5.76,0.32,0,0,0.32,0.32,0.32
22Month,0,0,0,2.19,0,0,0,0,0.55,0,0.55,0,0
