stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,12.26,0,0,0,0,4.09,0,0,12.26,0,0,0,0,12.26,8.17,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,2.14,2.14,0,1.07,0,1.07,0,0,58.84,11.77,0,2.14,1.07,1.07,0,3.21,0,0,0,0,0
21Day,0,0,6.69,1.34,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,2.68,0,0,0,0,33.46,8.03,0,0,1.34,0,0,4.02,0,1.34,0,0,0
3Month,0.64,0.32,12.16,0,0,8.32,1.28,0,0,16,0.96,0.32,6.4,0.32,2.88,3.84,0.96,0.96,0.32,0,1.92,0.32,0,0.64,0.32,0,2.56,2.88,0.32,0,0,6.72,1.28,1.28
22Month,1.64,1.09,9.29,0,0,5.47,2.19,1.64,0,90.74,0.55,0.55,8.2,0,0.55,3.28,2.19,0,2.73,1.09,0,0.55,0,0.55,0,0,0,1.09,0.55,2.19,0,0,0,0
