stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,4.28,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,4.02,1.34,0,0,0,0,0,0,0,0,0,4.02,0,1.34,0,0,0,0,1.34,0,2.68,1.34,0,0,0,0,0,0
3Month,0,0.32,0.32,3.84,0,0,0.64,2.88,0,17.28,3.2,0.96,1.92,0,0.96,2.88,0.96,1.6,0,0.32,0,0,0.96,0,0,2.88,0,0,0.64,1.6,2.24
22Month,0,3.83,0,9.84,0,0.55,2.19,13.12,5.47,79.26,5.47,0.55,7.11,1.64,1.64,7.65,4.37,0,1.09,0.55,0.55,0,0,0.55,0,1.09,0.55,0.55,0,0,4.37
