stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,572.1,0,0,4.09,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,12.84,0,0,0,0,1.07,0,1.07,1.07,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,20.08,0,0,0,1.34,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,1.34,0,0,0
3Month,0.32,0.96,0.96,11.2,0.32,0.64,0,116.46,470.01,0,18.56,106.86,0,7.04,0.96,4.48,34.55,14.08,2.24,0,2.56,1.6,0.64,0,1.92,0.32,0,0,2.56,0.64,6.4,0,0,0,2.88,2.24,12.48
22Month,0.55,3.28,1.09,7.11,0,3.28,0.55,35.53,1084.02,2.73,34.44,36.08,3.28,6.01,0.55,0.55,118.62,3.28,0,2.19,0,0,0.55,0,1.64,1.09,0.55,0.55,1.09,0,8.75,1.64,1.64,0,1.09,0,10.39
