stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,20.33,0,0,3.21,0,0,0,0,0,10.7,169.03,1.07,0,0,11.77,3.21,4.28,0,1.07,0,0
21Day,2.68,1.34,176.69,4.02,0,0,1.34,0,0,6.69,1.34,34.8,184.72,12.05,0,8.03,9.37,1.34,0,0,0,2.68,0
3Month,0,0,28.16,0,0.32,0.32,0.64,0.96,0.32,0,0.64,4.8,2.88,0,0.32,0.32,0.96,0,0,0.32,0,0,0.32
22Month,0,0,9.84,0,0,0,0,2.73,0,0,0,2.19,0,0,0,0,1.64,0,0,0,0,0,0
