stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,85.81,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,8.17,0,0,0,102.16,102.16,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,12.84,0,0,3.21,2.14,0,1.07,21.4,5.35,1.07,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,4.02,2.68,0,0,1.34,0,0,0,0,5.35,0,2.68,22.76,0,0,0,4.02,0,1.34,0,1.34,0,0,1.34,0,1.34,1.34,2.68,0,0,0,0,0
3Month,0.32,1.28,10.56,6.08,0.32,0.64,0,1.92,1.28,0,0,96.94,1.92,0.64,36.47,0.96,1.28,2.88,2.56,0.32,0.96,5.12,0.96,0,6.4,1.6,0,0,1.28,11.2,0.64,0.32,1.28,3.2,2.24
22Month,0,1.09,10.39,1.64,0,0,0,1.64,0.55,3.83,0,116.44,0.55,0.55,64.51,0,0.55,2.73,3.83,2.19,0,1.09,0.55,0,3.28,2.73,8.2,0,0.55,20.77,0,0.55,0,0,0
