stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,8.17,380.04,0,0,4.09,0,0,0,0,0,8.17,0,0,0
72hpf,18.19,1.07,13.91,5.35,12.84,1.07,0,0,0,0,2.14,0,3.21,24.61,3.21,29.95,1.07,1.07,1.07,951.04,2034.74,0,7.49,42.79,0,0,218.24,3.21,0,2.14,0,0,0
21Day,8.03,0,13.39,0,17.4,0,0,0,0,0,5.35,2.68,4.02,5.35,4.02,17.4,0,4.02,0,208.81,366.76,1.34,1.34,4.02,18.74,0,45.51,1.34,4.02,0,0,0,1.34
3Month,0,0,30.4,0,0,0,0.32,1.28,0.32,1.28,0,1.28,0,14.72,0,0,0,0.64,0,4.16,7.04,0.96,0,0,0,0.32,22.08,0,0,0.32,0.32,0.32,0.64
22Month,0,0.55,4.92,0,0,0,0.55,0.55,2.19,0,0,2.19,0,1.09,1.64,0.55,0,0,0,8.2,1.09,0,0,0,0,2.19,21.32,2.19,0,0,0,0,0
