stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,1.92,1.28,0.32,4.48,0.64,2.56,0.32,1.28,0.32,0,0.32,0,0.64,133.1,52.15,1.28
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,8.2,0,19.68,0.55,0
