stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,3.21,1.07,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,1.34
3Month,0.32,0,0.32,0,0.32,0,0,0,0.32,0.32,0
22Month,0,0.55,0,0.55,0,0.55,0,0,0,0,0
