stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,16.35,4.09,0,8.17,0,0,53.12,0,32.69,0,220.67,4.09,0,36.78,0,0,12.26,2582.61,4.09,0,0,0,28.6,114.42,0,0,12.26,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,4.28,2.14,0,1.07,0,37.44,0,0,0,0,16.05,0,0,3.21,231.07,2.14,0,0,0,8.56,5.35,0,1.07,2.14,1.07,0,0,1.07,0,0,0,0
21Day,1.34,0,0,5.35,0,0,0,0,22.76,0,0,0,9.37,22.76,1.34,0,2.68,56.22,2.68,0,0,6.69,0,1.34,14.72,1.34,0,2.68,0,0,0,0,0,0,14.72
3Month,0,0.32,0.32,11.84,0,0.64,0,0,23.04,0,0,5.76,90.23,0.32,2.56,0.96,0.64,49.27,2.88,0.32,0,2.24,0,0,8.96,0,0.64,1.28,0.32,1.92,0,0,0,0,10.88
22Month,0,2.73,0.55,12.03,0,0.55,0,1.09,45.92,0.55,0,20.77,58.49,1.64,2.19,0,0.55,52.48,3.28,0,1.09,0.55,0.55,0,8.2,0,0.55,0.55,0,2.73,0,0.55,0,0.55,8.75
