stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,1.07,1.07,0,3.21,0,0,0,0,0,8.56,0,0,0,1.07,0,0,0,66.33,6.42,0,1.07,1.07,0,0,0,0,0,0,0
21Day,1.34,0,1.34,4.02,1.34,1.34,0,2.68,0,0,0,1.34,1.34,74.96,0,0,1.34,12.05,8.03,0,1.34,46.85,6.69,1.34,0,1.34,2.68,1.34,5.35,1.34,0,0,65.59
3Month,0,1.28,0.32,3.2,0,0,0,1.6,0.32,3.52,0,2.56,11.52,6.08,1.28,0.32,1.92,11.52,3.52,0.96,0,6.08,0,2.88,0,0,0.64,76.47,0,0,0.32,12.8,70.07
22Month,0,0,0,1.09,0,0,0.55,0.55,0.55,5.47,1.09,12.03,6.56,15.31,1.09,0,1.09,12.03,0.55,0.55,0,1.09,0,3.83,0.55,0,0,5.47,0,0,0,0,14.76
