stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0,0,0.32,0,0.32,0,8.32,0.96,0,1.6,0.96,0.96,1.28,0,0.64,0,0,0.32,0,0,0,0.32
22Month,0.55,1.64,2.73,0.55,3.28,0.55,41.55,0,0.55,6.56,0,1.64,2.73,1.09,0,0,0,0,0,0.55,0.55,2.19
