stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,32.69,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,32.69,16.35,0,0,0,0,151.2,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,0,2.14,0,0,2.14,0,5.35,0,0,0,19.26,23.54,0,0,5.35,0,0,3.21,0,0,0
21Day,1.34,0,1.34,2.68,0,0,1.34,0,0,0,0,0,1.34,10.71,1.34,0,0,8.03,2.68,0,0,0,6.69,5.35,0,0,4.02,0,1.34,1.34,0,0,20.08
3Month,0.32,1.92,0,5.44,0,0.64,0,0.32,2.24,0,0,9.28,2.24,2.24,2.88,0.96,2.24,9.28,5.44,0.96,0.96,0.96,0,0,0.64,0.64,0.32,0.32,7.36,0,0,0.96,113.58
22Month,0.55,1.64,0.55,1.09,0,0.55,0,0,0.55,1.09,0,26.79,0,1.09,3.28,0,0,7.11,6.56,0,0,0,0,0,0,0.55,0,0.55,1.64,0,0.55,0.55,26.24
