stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,4.28,3.21,0,0,0,3.21,0,0,1.07,0,0,0,0
21Day,1.34,0,0,6.69,0,0,0,0,0,0,0,0,1.34,0,2.68,0,2.68,0,4.02,1.34,0,0,0,2.68,0,1.34,1.34,1.34,0,0,0
3Month,0,0.96,0.64,6.4,0,0.32,0,1.28,0.64,0.32,0.96,2.56,0,1.28,2.88,0.32,4.8,0.32,0,0,3.2,0.32,0,0.32,0.64,13.12,0,0,0.96,19.84,0.64
22Month,0,0,0,2.19,0.55,2.19,0.55,1.64,0,0,1.64,0,0.55,0,1.64,0,1.64,0.55,0,0,0.55,0,0.55,0,0,4.37,0,0,0,0,0
