stage,Cardiomyocyte,Endothelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,8.17,0,0,0,0,0,0,0,65.38,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,6.42,8.56,3.21,0,1.07,0,0,1.07,0
21Day,0,0,0,0,1.34,0,0,5.35,17.4,9.37,0,0,0,1.34,6.69,1.34
3Month,0,0.32,0,0,0.32,0.32,0.64,0.64,0,0,0.32,0,0.32,0,0.32,0
22Month,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0.55,0
