stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell
24hpf,0,0,0,8.17,0
72hpf,0,0,0,2.14,1.07
21Day,2.68,0,0,0,0
22Month,0,0.55,1.09,0,0
