stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,4.09,0,4.09,0,0,0,81.73,4.09,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,1.07,0,1.07,0,1.07,3.21,0,1.07,0,2.14
21Day,0,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0
22Month,0,1.09,7.65,0,3.83,0.55,12.57,1.09,0.55,0.55,0,0.55,0,0.55,1.64,0.55,0,0,1.09,1.09
