stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,3.21,2.14,0,1.07,0,1.07,0,0
21Day,1.34,2.68,4.02,0,0,0,0,2.68,0,0,1.34,6.69,0,1.34,4.02,5.35,0,0,0,0,0,0
3Month,0,0.64,0,0.32,0.32,0.64,0.32,0,0.32,0.64,0.96,0.64,0.32,0,0,0,0.32,0,0,0,0.32,0.64
22Month,0,0,0.55,0,0,4.92,0.55,0,1.09,0,0.55,0,0,0,0,0,0,0,1.64,0,0,0.55
