stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,1.34,0,1.34,4.02,2.68,0,1.34,0,0,0
3Month,0.96,0,0.32,0.64,0.64,0.96,0,0.32,0.64,0,0.32,0.32,0.32,0.64,0.32,0.32
