stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,2.68,0,6.69,2.68,1.34,0,0,0
3Month,0.32,0.32,0.32,1.92,0,0.64,0.32,0.64,0.64,0.32,0,0,0.32,3.52,1.6
22Month,0,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,2.19,0
