stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,143.35,2.14,0,0,2.14,0,0,0,0,0,0,0,0,1.07,1.07,0,7.49,0,0,0,21.4,9.63,0,1.07,4.28,0,0,0,0,0,1.07,0,0,0
21Day,81.65,0,0,8.03,0,0,2.68,0,0,4.02,0,4.02,1.34,1.34,2.68,1.34,6.69,0,0,2.68,5.35,8.03,0,0,5.35,4.02,0,1.34,1.34,1.34,0,0,0,0
3Month,13.12,3.2,0.32,4.16,0,0.32,0,0.32,0.32,62.39,0.64,1.6,3.2,1.6,1.92,0.32,1.92,0.32,0,4.8,0,0,0.32,0.32,0,1.6,10.24,0.64,0,0,0,0.32,8.96,0.64
22Month,5.47,2.19,0,3.83,0,0,0,0,0.55,56.85,1.09,0.55,1.64,1.09,0.55,0,3.83,0,1.64,2.73,0,0,0,0,0,0,8.2,0,0,0,0,0,0,1.09
