stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,0,0,2.14,0,0,0,0,0,1.07,1.07,2.14,1.07,0,1.07,1.07,5.35,2.14,3.21,1.07,0,0,0,0,0
21Day,8.03,0,1.34,13.39,2.68,0,0,2.68,0,1.34,0,28.11,0,0,1.34,22.76,26.77,0,0,2.68,4.02,4.02,8.03,0,0,0,2.68,0,8.03
3Month,0.96,0.32,1.28,4.16,0,0.32,0.64,6.08,0,7.36,30.08,3.2,1.28,0.96,1.6,11.84,2.56,0.96,0,1.92,0.64,0,0,0.32,0.32,0.96,0,0.32,4.48
22Month,0,0.55,0,1.64,0,0,0,18.04,0.55,21.87,14.21,1.64,0,0.55,1.09,21.32,1.64,0,0,2.73,0,0,0.55,0,0,0.55,0,0.55,0
