stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0,0,12.26
72hpf,0,0,0,1.07,0,0,0
21Day,0,1.34,1.34,0,2.68,2.68,0
