stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,1.34,0,0
3Month,0.32,0.32,0.96,1.28,0.64,2.88,0.32,0,0.32,2.24,0.64,0,0,0.32,0.32,0,0.64,10.24
22Month,0.55,0,0,1.64,2.73,0,0,0.55,0,3.28,0.55,0.55,0,0,0,0,0,18.04
