stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,4.28,3.21,0,0,0,0,0,0,0,0,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,0,0,1.34,0,1.34,2.68,1.34,5.35,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0
3Month,0,0.32,7.04,0,0,0,0,2.56,1.6,0,13.44,6.4,0.32,1.28,0.96,4.16,2.24,1.6,0.32,0.32,0,0.32,0,0.64,0,1.28,35.83,0,0,0.64,21.44,0.96
22Month,0,0.55,2.19,0.55,0,1.09,0.55,1.64,1.64,4.37,26.24,3.28,1.09,1.09,0,2.19,6.56,1.09,0,0,0,0,0.55,0,0.55,0.55,6.56,0.55,0.55,0,0,0.55
