stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,32.69,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,9.63,2.14,1.07,0,0,0,0,0,0,0,13.91,8.56,1.07,2.14,0,0,9.63,2.14,3.21,1.07,0,0,1.07,0,0,0,1.07,0,0,0
21Day,0,0,2.68,18.74,1.34,0,0,0,0,0,1.34,1.34,0,13.39,2.68,0,1.34,0,1.34,2.68,0,5.35,4.02,0,0,1.34,0,0,0,0,0,0,1.34
3Month,0.32,0.64,0.96,29.12,0.64,0,5.12,2.56,0,5.12,2.24,0,3.84,127.02,2.24,1.6,1.92,0,1.6,57.91,4.8,0,4.16,0,0,0,18.88,0,0.32,0,0.96,7.68,3.2
22Month,0,0.55,15.85,51.39,0.55,0,5.47,3.28,26.79,10.39,0.55,0,5.47,54.12,1.09,4.92,2.19,0.55,0.55,9.84,5.47,0,8.75,1.09,1.09,0,11.48,0.55,0,0,0,0,1.64
