stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,1.6,3.2,56.31,6.72,0.96,0,108.46,1.92,0.32,23.68,2.88,16.32,1.92,9.6,0.64,0,4.16,1.28,0.96,0.32,1.6,0.32,0.32,2.88,4.48,0.32,0,0,1.28,1.28,0.96
22Month,0,0,1.64,7.65,3.28,0,14.76,71.61,0,0,21.87,0,2.19,1.64,4.92,0.55,2.19,0.55,0.55,1.09,0,3.28,0.55,0,1.09,1.64,0,0.55,0.55,0.55,0,0
