stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,3.21,0,0,0,0,0,0,0,1.07,0,0,0,0,5.35,3.21,8.56,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,0,0
3Month,0,0,1.6,0.32,0.32,0.64,0.64,0.64,0.96,0.64,0,0.64,0.32,0.32,0,0.32,0,16.96,0,0,1.28,0,0.32
22Month,0.55,1.64,3.83,0,0,3.28,21.32,0,3.28,0,0.55,1.64,0.55,0,0.55,1.09,0,49.2,1.64,1.09,3.28,0.55,1.09
