stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,12.26,40.86,0,0,0,0,89.9,249.27,12.26,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,38.51,4.28,0,19.26,4.28,10.7,0,0,0,1.07,0,0,0,0,1.07,0,2.14,22.47,3.21,40.65,0,0,1.07,0,2989,256.75,23.54,117.68,0,46,1.07,0,93.07,3.21,2.14,2.14,0,0
21Day,5.35,0,0,26.77,1.34,17.4,0,1.34,0,1.34,0,0,4.02,0,2.68,1.34,1.34,5.35,4.02,17.4,0,0,1.34,0,791.07,34.8,8.03,18.74,0,4.02,26.77,0,5.35,4.02,6.69,4.02,0,1.34
3Month,0.96,0.64,0,11.2,0,0,0.32,0,0.96,3.2,0.64,0,11.52,1.92,0,5.44,0.96,2.24,0.96,2.24,0.32,0,0.64,0.32,17.92,4.16,64.63,2.88,0,0,1.28,2.88,0.32,0,0,0,1.6,1.92
22Month,0,1.64,1.09,8.2,0.55,0,1.09,0,1.64,7.65,128.46,0,66.15,1.64,0.55,9.29,1.64,1.09,3.28,4.92,0,1.09,0.55,0,36.63,3.28,69.43,10.39,2.19,0,2.19,9.84,3.28,0.55,0,0,0,0.55
