stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell
24hpf,8.17,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,1.07,0,0,0,0,0,16.05,0,0,1.07,0
21Day,0,0,1.34,0,0,0,0,6.69,0,1.34,0,1.34
3Month,0,0,0.32,0.32,0.32,0,0,0,0,0,0,0
22Month,0,0,0,4.37,0,0.55,0.55,0,0,0,0,0
