stage,Epithelial_cell__Brain_,Erythrocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Retinal_cell
24hpf,4.09,0,0,12.26,0,0
72hpf,0,0,2.14,1.07,1.07,1.07
21Day,0,1.34,0,0,0,0
