stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,12.26,0,0,0,0,32.69,69.47,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,3.21,0,3.21,17.12,0,0,0,0,0,0,1.07,0,2.14,18.19,2.14,17.12,0,1.07,1.07,0,1731.99,94.14,1.07,1.07,26.74,2.14,0,12.84,1.07,0,4.28,0,0,0
21Day,4.02,0,1.34,14.72,6.69,2.68,0,0,0,5.35,0,5.35,1.34,2.68,10.71,1.34,5.35,0,0,5.35,0,868.71,18.74,2.68,1.34,4.02,26.77,4.02,2.68,4.02,4.02,4.02,0,0,1.34
3Month,0,0.64,0.32,8,0,0,0.64,2.24,0,10.56,1.28,0,0.64,0.96,2.24,2.24,3.2,0.96,0,0.64,0.32,53.75,1.28,8.64,0.32,0.32,0.32,72.63,0,0,0,0.64,2.56,12.16,1.6
22Month,0,1.09,0,4.37,0,0.55,0.55,2.73,0,50.84,1.64,0.55,3.28,0,0.55,0,4.37,0,1.64,0.55,0,18.04,0,1.09,0,0,0,27.33,1.09,0,0,0,0,0.55,0
