stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,1.34,4.02
3Month,0,0,1.28,0,0,0.32,0.32,0.32,0,0
22Month,0,0.55,1.64,0.55,0,0,0,1.09,0,0
