stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,5.35,0,1.34,0,6.69,1.34,0,0,6.69,0,0,0,0,0,2.68,0,0,0,2.68,0,0,0,0,1.34
3Month,0.32,0,5.44,0.32,0.96,0,1.28,163.81,0,6.72,15.68,0.64,1.6,0.96,1.28,41.27,3.2,0.64,0,1.28,0.64,0,0.64,0,0,0.64,0.64,0.32,0.32,1.92,2.88
22Month,0,1.09,2.73,0,3.83,0.55,0.55,299.57,0.55,16.4,8.75,1.64,1.64,0,0.55,63.41,1.64,0,0.55,0,0,0.55,0,0.55,0.55,0,0.55,0,0,0,3.28
