stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,2.14,1.07,0,10.7,1.07,0,0,0,0,1.07,0,1.07,0,0
21Day,1.34,0,0,1.34,0,2.68,2.68,0,0,0,0,0,0,0,0,2.68,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,0.32,2.88,0.32,0,0,0.64,0,10.24,0.64,0,1.6,0,2.24,1.28,0.96,0.96,0.96,0,0,0.32,0,1.6,0,0,0,2.24,0.32
22Month,0,1.09,0,7.11,0,0,0.55,2.19,1.09,41,0.55,0.55,4.37,0,1.09,3.28,1.09,0,0,0,0,0.55,0.55,1.64,0,0.55,0,0,0.55
