stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,16.35,8.17,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34
3Month,0.64,0,0.32,0.32,0,0.32,1.92,0.64,0.64,3.84,6.72,1.6,0.64,0.32,0,0,0.96,0,0.64,0.32,0.32,0.64,4.8
22Month,0,0,0.55,3.28,7.65,2.73,0,0.55,0,5.47,1.64,0,0,0,0,0.55,0,0.55,0,0.55,0,0,0
