stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,57.21,0,0,8.17,0,0,0,0,0
72hpf,0,1.07,0,5.35,2.14,3.21,0,0,0,0,1.07,0,0,4.28,0,11.77,32.09,7.49,0,1.07,5.35,0,4.28,0,1.07,0
21Day,2.68,0,0,4.02,0,1.34,1.34,0,0,0,2.68,0,1.34,5.35,1.34,9.37,6.69,2.68,0,1.34,1.34,0,0,2.68,0,1.34
3Month,0,0,0,0.96,0,0,0,0.32,0,0.32,0,0,0,1.6,0.32,0.32,0,0,0,0,0,0.64,0,0,0,0
22Month,0,0,0.55,0.55,0,0,0,0.55,0.55,14.76,0.55,2.19,0,0,0,0.55,0,0,0.55,0,0,1.09,0.55,0,0,0.55
