stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,36.78,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,7.49,0,2.14,117.68,2.14,0,0,0,0,0,0,1.07,1.07,4.28,57.77,0,9.63,0,1.07,1.07,0,92,19.26,0,2.14,0,9.63,0,1.07,12.84,0,0,0,0,0
21Day,1.34,9.37,0,32.12,95.04,2.68,0,0,0,0,0,0,4.02,0,9.37,28.11,1.34,9.37,0,0,1.34,0,46.85,6.69,0,5.35,0,4.02,5.35,14.72,12.05,0,0,0,0,4.02
3Month,0,4.8,0.96,22.72,57.27,0,0,1.28,1.92,0,7.68,3.52,1.6,2.88,16.32,5.12,2.88,4.48,2.88,0,3.2,0.64,4.16,0.64,1.28,7.04,0,0,1.28,123.82,7.68,0,0,1.28,36.15,19.84
22Month,0.55,59.04,0,7.11,15.31,0,1.64,0,3.83,0.55,23.51,1.64,1.64,1.09,1.09,11.48,6.01,6.56,1.09,1.09,2.73,0,4.37,1.09,0.55,10.93,0.55,0.55,0.55,77.62,64.51,1.09,0.55,0.55,0,12.57
