stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,171.63,73.56,8.17,0,0,0,12.26,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,1.07,1.07,134.79,3.21,2.14,0,0,1.07,16.05,3.21,0,0,0,4.28,0,0,0,1.07,0,0,0
21Day,1.34,0,1.34,82.99,0,4.02,0,1.34,0,0,0,0,0,13.39,4.02,0,5.35,57.56,32.12,29.45,0,0,1.34,5.35,1.34,0,1.34,0,5.35,8.03,0,0,0,0,0,1.34
3Month,0,1.92,0,64.95,0,0,0,0.32,0.32,1.6,16.96,0,9.6,26.56,0,1.92,4.48,6.08,30.08,6.72,1.6,0,0.32,0.64,0.32,1.28,0.64,0,0,0.96,2.88,0,0.64,0.32,0.64,1.6
22Month,0.55,4.92,0.55,15.85,0,0,1.64,0,0,2.19,69.97,4.37,48.11,36.08,0.55,1.09,0.55,3.28,31.71,7.11,0,1.09,1.09,0.55,0,1.09,2.19,0.55,0,0,0.55,0.55,0,0,0,1.64
