stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0
72hpf,1.07,0,1.07,0,2.14,0,3.21,0,5.35,7.49,0,1.07,0
21Day,1.34,1.34,2.68,2.68,1.34,1.34,9.37,1.34,8.03,5.35,1.34,1.34,1.34
