stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,0,4.09,0,0,0,0,0,0,4.09,4.09,0,0,49.04,0,4.09,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,1.07,1.07,9.63,2.14,1.07,1.07,0,1.07,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,2.68,1.34,4.02,1.34,0,0,0,0,1.34,0,1.34
3Month,0,0.32,0.96,0,0,0,0,0.64,0,0,0.32,0,0,0,0,0,0.32,0,0,0,0
22Month,0,0,0,0,0,0.55,0.55,0.55,1.09,0,0,0.55,0,0,0,0,0,0,0,0,0
