stage,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,24.52,0,0,0,175.72,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,1.07,0,0,0,0,0,2.14,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,2.24,10.24,3.84,0.96,0.32,0,1.92,6.08,0.32,0.64,0.64,0.64,0.96,27.2,0,0,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0,0.64,0.64
22Month,2.73,2.19,0,2.19,1.09,0,6.01,12.03,0.55,2.73,0,0.55,1.09,59.59,1.09,0,0,0,0.55,0,0,0,0.55,0.55,0,0,0
