stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,8.17,4.09,0,0,4.09,8.17,4.09,65.38,4.09,0,0
72hpf,1.07,0,0,0,1.07,0,0,1.07,6.42,0,1.07,0
21Day,0,0,0,1.34,0,0,0,1.34,1.34,2.68,0,1.34
